assembly_accession
GCA_000001215.4
GCA_000001635.9
GCA_000001735.2
GCA_000001765.3
GCA_000001895.4
GCA_000002035.4
GCA_000002285.4
GCA_000002295.1
GCA_000002305.1
GCA_000002315.5
GCA_000002415.2
GCA_000002425.3
GCA_000002495.2
GCA_000002515.1
GCA_000002525.1
GCA_000002545.2
GCA_000002655.1
GCA_000002765.3
GCA_000002775.4
GCA_000002985.3
GCA_000003025.6
GCA_000003025.7
GCA_000003205.6
GCA_000003625.1
GCA_000003745.2
GCA_000003815.2
GCA_000004075.3
GCA_000004195.4
GCA_000004555.3
GCA_000004655.2
GCA_000005005.6
GCA_000005425.2
GCA_000005575.1
GCA_000006355.3
GCA_000006445.2
GCA_000011425.1
GCA_000026365.1
GCA_000026945.1
GCA_000027005.1
GCA_000090745.2
GCA_000091025.4
GCA_000091045.1
GCA_000091225.2
GCA_000142805.1
GCA_000143535.4
GCA_000146045.2
GCA_000146465.1
GCA_000146605.4
GCA_000147395.3
GCA_000149245.3
GCA_000149285.1
GCA_000149385.1
GCA_000151485.1
GCA_000151865.3
GCA_000165345.1
GCA_000165365.1
GCA_000165395.2
GCA_000180635.4
GCA_000181215.3
GCA_000181335.6
GCA_000181795.3
GCA_000182155.4
GCA_000182925.2
GCA_000182965.3
GCA_000184155.1
GCA_000184455.3
GCA_000185945.1
GCA_000187245.3
GCA_000188115.5
GCA_000188235.2
GCA_000190195.1
GCA_000190215.1
GCA_000190235.1
GCA_000190255.1
GCA_000208745.2
GCA_000208865.2
GCA_000209165.1
GCA_000209535.1
GCA_000209555.1
GCA_000214255.1
GCA_000219495.2
GCA_000223565.1
GCA_000224145.2
GCA_000224295.2
GCA_000226095.1
GCA_000226115.1
GCA_000227115.2
GCA_000230245.1
GCA_000230575.5
GCA_000230855.3
GCA_000231095.3
GCA_000235365.1
GCA_000236905.1
GCA_000237345.1
GCA_000237925.2
GCA_000237925.5
GCA_000238415.2
GCA_000238955.5
GCA_000241765.5
GCA_000242695.1
GCA_000243375.1
GCA_000247795.2
GCA_000247815.2
GCA_000259045.1
GCA_000259055.1
GCA_000269505.2
GCA_000269885.1
GCA_000275665.1
GCA_000277815.3
GCA_000280035.2
GCA_000292605.2
GCA_000292725.1
GCA_000292815.1
GCA_000298735.2
GCA_000304475.1
GCA_000309985.3
GCA_000313675.1
GCA_000313855.2
GCA_000315875.1
GCA_000315915.1
GCA_000317375.1
GCA_000317415.1
GCA_000317765.2
GCA_000321355.1
GCA_000321445.1
GCA_000325765.3
GCA_000325905.2
GCA_000327365.2
GCA_000328385.1
GCA_000328475.2
GCA_000331145.2
GCA_000331955.2
GCA_000338895.3
GCA_000340665.2
GCA_000340665.3
GCA_000346735.1
GCA_000347275.4
GCA_000347335.2
GCA_000348985.1
GCA_000349125.2
