Name,Rank,TID,Max,report-IMAS_IODP382.23005_382_U1534C_1H_1_0_5cm,report-IMAS_IODP382.23006_382_U1534C_1H_1_0_0cm_Mudline,report-IMAS_IODP382.23007_382_U1534C_1H_1_145_150cm_A,report-IMAS_IODP382.23011_382_U1534C_1H_2_145_150cm,report-IMAS_IODP382.23012_382_U1534C_1H_3_145_150cm,report-IMAS_IODP382.23014_382_U1534C_1H_4_96_101cm,report-IMAS_IODP382.23017_382_U1534C_2H_2_145_150cm,report-IMAS_IODP382.23018_382_U1534C_2H_4_145_150cm,report-IMAS_IODP382.23019_382_U1534C_2H_6_66_71cm,report-IMAS_IODP382.23020_382_U1534C_3H_2_145_150cm,report-IMAS_IODP382.23021_382_U1534C_3H_4_145_150cm,report-IMAS_IODP382.23022_382_U1534C_4H_2_145_150cm,report-IMAS_IODP382.23023_382_U1534C_4H_4_145_150cm,report-IMAS_IODP382.23024_382_U1534C_4H_6_124_129cm,report-IMAS_IODP382.23026_382_U1534C_5H_2_145_150cm,report-IMAS_IODP382.23027_382_U1534C_5H_4_145_150cm,report-IMAS_IODP382.23028_382_U1534C_10H_6_115_120cm,report-IMAS_IODP382.23071_382_U1536B_1H_1_0_0cm_Mudline,report-IMAS_IODP382.23072_382_U1536B_1H_1_0_5cm,report-IMAS_IODP382.23073_382_U1536B_1H_3_145_150cm,report-IMAS_IODP382.23074_382_U1536B_3H_6_133_138cm,report-IMAS_IODP382.23075_382_U1536B_4H_6_136_141cm,report-IMAS_IODP382.23076_382_U1536B_5H_6_145_150cm,report-IMAS_IODP382.23077_382_U1536B_6H_6_145_150cm,report-IMAS_IODP382.23078_382_U1536B_7H_2_145_150cm,report-IMAS_IODP382.23079_382_U1536B_8H_6_121_126cm,report-IMAS_IODP382.23080_382_U1536B_9H_2_145_150cm,report-IMAS_IODP382.23081_382_U1536B_10H_5_145_150cm,report-IMAS_IODP382.23082_382_U1536B_11H_2_145_150cm,report-IMAS_IODP382.23083_382_U1536B_11H_6_145_150cm,report-IMAS_IODP382.23084_382_U1536B_12H_2_145_150cm,report-IMAS_IODP382.23085_382_U1536B_20H_6_141_146cm,report-IMAS_IODP382.23136_382_U1538C_1H_1_0_0cm_Mudline,report-IMAS_IODP382.23137_382_U1538C_1H_1_0_5cm,report-IMAS_IODP382.23138_382_U1538C_1H_1_145_150cm,report-IMAS_IODP382.23139_382_U1538C_1H_2_145_150cm,report-IMAS_IODP382.23140_382_U1538C_1H_3_145_150cm,report-IMAS_IODP382.23141_382_U1538C_2H_1_145_150cm,report-IMAS_IODP382.23142_382_U1538C_2H_2_145_150cm,report-IMAS_IODP382.23143_382_U1538C_2H_3_145_150cm,report-IMAS_IODP382.23144_382_U1538C_2H_4_145_150cm,report-IMAS_IODP382.23145_382_U1538C_2H_5_145_150cm,report-IMAS_IODP382.23146_382_U1538C_2H_6_95_100cm,report-IMAS_IODP382.23147_382_U1538C_3H_2_145_150cm,report-IMAS_IODP382.23148_382_U1538C_3H_4_145_150cm,report-IMAS_IODP382.23149_382_U1538C_4H_1_145_150cm,report-IMAS_IODP382.23150_382_U1538C_4H_2_145_150cm,report-IMAS_IODP382.23151_382_U1538C_4H_3_145_150cm,report-IMAS_IODP382.23152_382_U1538C_5H_2_145_150cm,report-IMAS_IODP382.23153_382_U1538C_5H_4_145_150cm,report-IMAS_IODP382.23154_382_U1538C_5H_5_109_110cm,report-IMAS_IODP382.23155_382_U1538C_6F_1_144_149cm,report-IMAS_IODP382.23156_382_U1538C_6F_2_146_151cm,report-IMAS_IODP382.23157_382_U1538C_7H_1_145_150cm,report-IMAS_IODP382.23158_382_U1538C_7H_2_145_150cm,report-IMAS_IODP382.23159_382_U1538C_7H_3_145_150cm,report-IMAS_IODP382.23160_382_U1538C_7H_4_145_150cm,report-IMAS_IODP382.23161_382_U1538C_7H_5_145_150cm,report-IMAS_IODP382.23162_382_U1538C_7H_6_115_120cm,report-IMAS_IODP382.23163_382_U1538C_8H_1_145_150cm,report-IMAS_IODP382.23164_382_U1538C_8H_2_145_150cm,report-IMAS_IODP382.23165_382_U1538C_8H_3_145_150cm,report-IMAS_IODP382.23166_382_U1538C_10H_5_145_150cm,report-IMAS_IODP382.23169_382_U1538D_14H_1_145_150cm,report-IMAS_IODP382.23170_382_U1538D_14H_5_110_115cm,report-IMAS_IODP382.23086_382_U1536B_1_12_20H_Ctrl_DF_PFT,report-IMAS_IODP382.23087_382_U1536B_1_12H_CtrlAir,report-IMAS_IODP382.23015_382_U1534C_1H_4_CtrlAir,report-IMAS_IODP382.23016_382_U1534C_1_10H_Ctrl_DF_PFT,report-IMAS_IODP382.23025_382_U1534C_4H_6_CtrlAir,report-IMAS_IODP382.23167_382_U1538C_1_10H_Ctrl_DF_PFT,report-IMAS_IODP382.23168_382_U1538C_1_10H_CtrlAir,report-IMAS_IODP382.23244_382_U1536B_12H_CtrlAir,report-IMAS_IODP382.23029_382_U1534C_10H_6_CtrlAir,report-IMAS_IODP382.24798_EBC,report-IMAS_IODP382.24800_EBC,report-IMAS_IODP382.24801_EBC,report-IMAS_IODP382.24802_EBC,report-IMAS_IODP382.24803_EBC1,report-IMAS_IODP382.24804_EBC2,Lineage
Verrucomicrobiia,C,203494,5978,787,10,1324,10,1405,3415,1409,1349,408,2615,555,1872,1587,133,97,1945,973,,3601,1928,2752,582,1471,1641,1287,1605,322,720,1440,2356,1824,1113,13,4208,1426,2475,2116,2525,593,89,1234,3011,4090,763,1720,4995,5059,5001,5594,2860,3558,5653,3200,4597,5978,1012,4917,1446,5,1181,4444,,1155,36,1436,1,,,,,1,,,,,1,1,,,1,cellular organisms>Bacteria>Pseudomonadati>PVC group>Verrucomicrobiota
Spartobacteria,C,134549,529,171,,155,2,171,314,177,171,66,222,32,221,174,12,20,514,254,,439,269,220,43,233,266,153,167,20,52,218,362,294,419,4,486,214,299,253,407,100,14,171,254,323,60,287,332,413,400,517,279,493,374,248,410,329,74,454,151,,164,529,,195,6,228,,,,,,,,,,,1,,,,,cellular organisms>Bacteria>Pseudomonadati>PVC group>Verrucomicrobiota
Chlamydiia,C,204429,173,37,,78,3,43,70,45,61,11,83,12,108,72,6,7,147,36,,128,116,56,12,63,86,47,63,2,12,63,173,98,36,,97,62,126,78,163,30,1,91,134,118,23,86,87,105,103,101,39,104,125,52,99,80,18,107,25,,38,127,,37,,32,,,,,,,,,,,,,,,,cellular organisms>Bacteria>Pseudomonadati>PVC group>Chlamydiota
Candidatus Tritonobacteria,C,3039761,161,1,,15,,2,10,2,32,2,4,2,2,2,,,3,2,,25,113,12,,3,47,,,,,,1,,1,,8,84,161,64,68,15,37,10,54,34,10,94,20,6,6,7,5,3,1,4,3,1,1,2,2,,,7,,9,,1,,,,,,,,,,,,,,,,cellular organisms>Bacteria>Pseudomonadati>PVC group>Candidatus Auribacterota
Candidatus Polarisedimenticolia,C,2886000,158,158,,35,1,52,82,34,32,5,58,6,44,30,,5,41,25,,145,37,24,7,18,37,12,20,6,6,19,17,13,25,,99,43,40,40,38,10,2,32,18,40,6,29,34,64,42,64,33,80,56,36,41,39,12,33,18,,21,49,,31,,15,,,,,,,,,,,,,,,,cellular organisms>Bacteria>Pseudomonadati>Acidobacteriota
Magnetococcia,C,3118669,157,42,,39,,24,51,45,39,17,54,8,48,42,2,1,55,30,,148,77,36,12,46,53,18,12,3,7,40,36,28,28,,157,47,79,64,144,17,2,63,49,61,16,68,56,69,70,95,76,101,63,30,61,109,10,79,32,,56,98,,32,,19,,,,,,,,,,,,,,,,cellular organisms>Bacteria>Pseudomonadati>Pseudomonadota
Thermodesulfobacteria,C,67799,154,21,,54,,62,154,52,98,2,147,15,50,69,4,3,58,9,,149,34,12,4,30,22,11,19,4,3,25,19,15,,,96,30,50,17,64,8,2,24,42,47,10,39,21,29,32,36,21,32,23,18,30,31,2,22,15,,9,30,,41,,13,,,,,,,,,,,,,,,,cellular organisms>Bacteria>Pseudomonadati>Thermodesulfobacteriota
Lentisphaeria,C,1313211,570,125,2,163,3,172,296,177,154,42,249,47,174,150,12,11,146,101,,481,281,147,34,171,188,112,130,12,16,105,207,97,60,,570,205,281,201,359,66,9,122,179,298,78,270,249,483,301,495,184,371,496,189,303,310,65,294,102,1,93,313,,312,4,52,,,,,,,,,,,2,,,,,cellular organisms>Bacteria>Pseudomonadati>PVC group>Lentisphaerota
Thermomicrobia,C,189775,152,68,2,85,3,60,93,74,75,22,81,7,92,45,6,4,125,91,,131,94,65,11,73,84,39,39,6,14,52,61,57,109,2,137,88,114,119,111,21,1,54,83,98,16,90,95,91,105,133,93,152,78,62,128,93,15,117,49,1,43,143,,131,,74,,,,,,,,,,,,,,,,cellular organisms>Bacteria>Pseudomonadati>Thermomicrobiota
Desulfomonilia,C,3031650,139,28,,58,,35,46,32,36,2,37,2,23,35,3,5,31,21,,139,56,20,3,28,25,7,9,1,3,13,11,15,8,,108,41,54,32,57,14,3,13,45,55,9,75,37,45,32,38,26,43,40,18,29,21,4,28,9,,11,37,,52,1,2,,,,,,,,,,,,,,,,cellular organisms>Bacteria>Pseudomonadati>Thermodesulfobacteriota
Candidatus Cloacimonadia,C,3039863,127,13,,26,,29,39,25,35,5,35,7,50,29,3,2,45,29,,88,53,42,5,44,37,14,12,,2,22,28,17,1,,105,33,75,40,70,20,3,35,83,54,15,127,43,60,37,81,22,31,47,22,38,51,12,54,21,,27,87,,38,,9,,,,,,,,,,,,,,,,cellular organisms>Bacteria>Pseudomonadati>FCB group>Candidatus Cloacimonadota
Rubrobacteria,C,84995,117,29,,38,,27,96,33,24,9,50,8,38,22,1,5,69,33,,75,62,29,3,35,33,10,16,2,9,24,23,23,42,,88,63,51,63,56,13,2,31,42,63,11,35,117,43,51,56,31,78,37,35,59,46,8,54,29,,30,58,,75,1,27,,,,,,,,,,,,,,,,cellular organisms>Bacteria>Bacillati>Actinomycetota
Candidatus Kapaibacteriia,C,3349962,114,18,,34,,39,43,36,48,12,51,10,48,38,2,5,76,23,,114,71,30,9,52,39,22,36,,3,32,47,47,41,,78,36,58,44,73,7,2,92,106,53,19,78,56,57,64,85,30,59,67,29,34,49,6,56,26,,15,83,,47,,26,,,,,,,,,,,,,,,,cellular organisms>Bacteria>Pseudomonadati>FCB group>Bacteroidota/Chlorobiota group>Candidatus Kapaibacteriota
Endomicrobiia,C,447830,105,10,,21,,19,44,26,28,7,40,6,50,39,4,1,105,18,,46,58,29,8,45,57,16,20,3,3,29,40,27,22,,40,21,58,36,67,10,4,31,54,58,11,69,36,44,41,57,28,34,56,25,55,34,14,48,19,1,11,62,,46,,23,,,,,,,,,,,,,,,,cellular organisms>Bacteria>Pseudomonadati>Elusimicrobiota
Bacteroidia,C,200643,9657,2171,9,4496,37,3255,5912,3667,2803,701,5116,811,3715,3524,570,215,3287,1502,,9253,4918,2115,497,2559,3345,1561,2104,255,345,1916,3834,3117,942,6,9657,3036,4563,3294,6861,1071,120,2816,4200,5270,1182,5462,3616,5777,4075,6508,2514,3918,6563,2714,3496,3841,888,4340,1672,51,1875,5117,26,2663,30,1000,1,,5,3,,3,,,,,38,6,4,,,cellular organisms>Bacteria>Pseudomonadati>FCB group>Bacteroidota/Chlorobiota group>Bacteroidota
Flavobacteriia,C,117743,27202,1708,30,3111,38,4840,10457,4423,3645,1655,10716,1976,8999,6604,538,514,14945,5430,1,8716,7990,7702,2065,6937,10574,8342,9507,1195,1756,9232,20506,12587,7877,27,5942,3408,10256,6443,11445,2910,473,6298,10925,11169,2496,5572,13920,17359,15637,27202,12046,14411,23425,11311,14474,17135,3171,22077,6626,44,7629,21355,,2955,172,6126,3,,1,1,1,2,,,,,4,1,6,2,8,cellular organisms>Bacteria>Pseudomonadati>FCB group>Bacteroidota/Chlorobiota group>Bacteroidota
Cytophagia,C,768503,3265,565,5,854,9,806,1579,749,931,360,1684,265,1615,1291,104,123,3093,1363,,2181,1664,1134,292,1296,1767,1212,1353,159,276,1613,2828,1948,1794,12,1858,834,1787,1192,2215,423,69,1509,2054,2008,356,1361,1917,2744,2446,3265,1496,2395,3113,1559,2323,2126,501,3150,1134,11,1036,3082,,831,50,1224,,,,1,,1,,,,,1,,5,,1,cellular organisms>Bacteria>Pseudomonadati>FCB group>Bacteroidota/Chlorobiota group>Bacteroidota
Chitinophagia,C,1853228,8759,259,23,873,12,858,1781,746,1223,725,1869,305,2775,1911,213,270,8759,3694,,1394,1964,2585,708,2650,3511,3170,3358,386,667,4662,7943,6107,5662,15,1201,1093,2663,1903,2932,741,100,1559,2736,2978,570,1966,3720,4287,5460,6509,2421,4493,4250,3287,4932,3900,1037,7165,2844,11,1913,6168,,1209,108,3692,3,1,,1,,2,,,,,6,,2,,8,cellular organisms>Bacteria>Pseudomonadati>FCB group>Bacteroidota/Chlorobiota group>Bacteroidota
Saprospiria,C,1937959,1582,206,3,367,2,374,780,381,380,95,725,154,762,560,43,22,460,204,,744,658,420,116,382,500,321,478,48,59,324,859,432,168,2,644,324,723,423,993,159,17,453,858,945,197,546,751,1172,819,1034,548,834,1582,560,750,1135,199,1019,356,,354,1067,1,334,3,175,,,,,,,,,,,,1,,,,cellular organisms>Bacteria>Pseudomonadati>FCB group>Bacteroidota/Chlorobiota group>Bacteroidota
Sphingobacteriia,C,117747,2654,164,6,361,6,358,689,354,472,227,739,134,988,714,94,59,2654,1073,,692,801,809,193,870,1199,962,1082,123,232,1543,2360,1718,1635,7,614,438,1001,683,1104,272,42,700,1042,1095,208,842,1234,1505,1789,2255,836,1420,1630,1071,1561,1324,338,2383,811,9,660,2103,,482,33,1008,1,,,,2,3,,1,,,3,,4,,,cellular organisms>Bacteria>Pseudomonadati>FCB group>Bacteroidota/Chlorobiota group>Bacteroidota
Ignavibacteria,C,795747,4931,398,,413,2,357,634,268,332,79,544,63,512,408,33,21,432,114,,4931,514,268,72,290,332,142,224,31,33,262,636,331,45,3,1359,295,628,356,696,125,17,321,463,657,118,493,379,643,387,572,242,410,909,331,437,400,112,485,198,5,187,582,,265,1,98,,,,,,3,,,,,2,1,,,,cellular organisms>Bacteria>Pseudomonadati>FCB group>Bacteroidota/Chlorobiota group>Ignavibacteriota
Syntrophorhabdia,C,3031649,102,19,,48,,28,46,27,33,8,36,5,38,31,4,4,36,22,,102,45,15,5,52,21,6,12,1,2,19,16,15,5,,87,33,40,30,55,10,1,17,45,43,11,56,37,35,33,32,15,39,24,16,21,29,3,37,7,,6,35,,29,,6,,,,,,,,,,,,,,,,cellular organisms>Bacteria>Pseudomonadati>Thermodesulfobacteriota
Pedosphaerae,C,3440663,90,22,,33,,20,30,22,25,20,39,5,34,23,2,4,69,49,,46,28,35,11,29,52,26,21,3,12,27,55,37,50,,53,22,37,38,56,13,3,31,34,34,10,36,61,61,73,76,40,86,50,48,62,60,13,73,31,,21,90,,21,1,35,,,,,,,,,,,,,,,,cellular organisms>Bacteria>Pseudomonadati>PVC group>Verrucomicrobiota
Aquificia,C,187857,86,9,,47,,39,39,26,33,11,42,12,70,40,7,5,77,25,,68,54,27,6,56,42,10,22,2,4,24,30,32,8,,48,37,59,45,82,19,4,46,83,86,13,65,51,69,42,49,16,45,51,28,34,29,9,49,13,,21,67,,35,,7,,,,,,,,,,,,,,,,cellular organisms>Bacteria>Pseudomonadati>Aquificota
Candidatus Hydrogenedentia,C,3118731,84,16,,13,,19,24,16,23,7,23,1,19,11,,2,44,14,,39,33,16,3,25,22,7,4,2,2,12,28,14,9,,84,22,28,32,48,14,,13,36,43,8,27,22,31,30,17,12,20,34,16,23,25,5,18,6,,14,44,,65,,15,,,,,,,,,,,,,,,,cellular organisms>Bacteria>Pseudomonadati>FCB group>Candidatus Hydrogenedentota
Gemmatimonadia,C,219685,2143,1509,10,1837,5,646,1335,692,737,231,1176,135,744,542,37,95,1774,1003,,2130,854,830,170,694,964,515,626,86,143,742,1006,820,1459,10,1996,855,905,1072,1126,253,28,529,777,1161,207,784,1186,1539,1677,1678,1002,2143,1536,950,1677,1376,272,1872,580,4,571,1783,,594,20,775,,,,,,3,,,,,,,1,,2,cellular organisms>Bacteria>Pseudomonadati>FCB group>Gemmatimonadota
Longimicrobiia,C,1804991,452,145,1,102,1,93,196,108,97,36,177,29,96,75,5,12,169,100,,452,123,144,25,105,181,76,91,17,40,79,165,164,153,1,391,132,151,164,217,33,7,82,121,207,45,124,223,271,263,276,204,418,328,158,252,219,43,272,89,1,97,407,,95,5,193,,,,,,,,,,,,,1,,,cellular organisms>Bacteria>Pseudomonadati>FCB group>Gemmatimonadota
Abditibacteriia,C,2109259,83,3,,7,,11,16,4,10,5,13,3,7,8,1,2,14,5,,23,12,8,1,13,12,7,3,1,2,6,6,12,6,,23,11,20,11,18,6,,4,15,18,6,12,11,15,18,18,9,20,20,11,14,7,1,19,18,,6,19,,83,,5,,,,,,,,,,,,,,,,cellular organisms>Bacteria>Pseudomonadati>Abditibacteriota
Caldisericia,C,693071,61,4,,11,,8,11,3,8,5,15,2,27,17,,1,61,10,,18,17,13,4,7,11,4,9,,,4,19,13,1,,8,10,20,12,28,7,,15,17,19,6,34,12,18,21,17,7,9,12,8,16,14,2,19,7,,5,25,,29,,5,,,,,,,,,,,,,,,,cellular organisms>Bacteria>Pseudomonadati>Caldisericota/Cryosericota group>Caldisericota
Chitinivibrionia,C,296141,59,11,,25,,15,24,15,21,4,24,2,10,15,1,,18,15,,59,21,6,5,16,10,2,5,,1,7,2,4,2,,51,12,27,27,32,6,,26,19,28,9,30,14,22,20,34,8,27,25,14,17,15,3,22,6,,11,29,,21,,4,,,,,,,,,,,,,,,,cellular organisms>Bacteria>Pseudomonadati>FCB group>Fibrobacterota
Desulfobaccia,C,3031647,58,12,,13,,17,22,14,24,2,17,5,11,7,,2,29,11,,50,17,12,1,18,8,3,2,1,2,10,9,6,5,,58,20,18,20,36,5,,13,15,26,2,35,15,17,8,14,3,22,10,12,9,15,7,12,5,,,13,,31,,1,,,,,,,,,,,,,,,,cellular organisms>Bacteria>Pseudomonadati>Thermodesulfobacteriota
Candidatus Cryosericia,C,2498706,50,9,1,2,,5,13,3,9,1,6,,8,3,2,5,39,,,6,6,9,1,5,2,,5,,,,4,9,4,,8,3,5,3,12,6,,14,14,50,2,11,1,9,11,6,8,10,14,,4,18,3,21,6,,11,38,,43,1,4,,,,,,,,,,,,,,,,cellular organisms>Bacteria>Pseudomonadati>Caldisericota/Cryosericota group>Candidatus Cryosericota
Deferrisomatia,C,3031652,47,47,,6,,4,22,9,10,3,11,1,5,6,1,,3,6,,19,7,4,1,4,5,1,2,,,5,4,2,,,24,4,4,5,8,3,1,2,3,15,,8,6,8,4,6,1,10,5,4,5,5,1,5,4,,1,4,,3,,2,,,,,,,,,,,,,,,,cellular organisms>Bacteria>Pseudomonadati>Thermodesulfobacteriota
Terrimicrobiia,C,2762271,45,15,,8,,10,19,15,16,11,15,,22,13,2,,36,16,,33,28,19,7,18,15,12,10,,6,14,19,45,27,,41,19,32,24,33,8,1,12,23,23,2,17,26,39,32,32,17,35,28,24,32,35,5,31,9,,5,37,,15,2,13,,,,,,,,,,,,,,,,cellular organisms>Bacteria>Pseudomonadati>PVC group>Verrucomicrobiota
Chitinispirillia,C,1860136,45,11,,24,,13,19,12,10,4,19,6,18,17,,2,8,12,,41,23,9,3,14,15,6,8,,2,10,7,5,,,45,18,20,14,23,4,2,6,17,24,1,27,14,18,18,31,11,19,18,12,13,13,2,22,5,,4,25,,7,,3,,,,,,,,,,,,,,,,cellular organisms>Bacteria>Pseudomonadati>FCB group>Fibrobacterota
Candidatus Electryoneia,C,3039631,45,7,,15,,44,38,9,30,8,29,6,32,17,2,1,3,2,,45,21,6,1,14,11,5,5,,1,4,3,5,1,,10,41,35,22,33,3,3,16,17,30,4,16,14,26,29,29,6,20,22,13,20,19,4,20,9,,10,36,,6,,,,,,,,,,,,,,,,,,cellular organisms>Bacteria>Pseudomonadati>FCB group>Candidatus Electryoneota
Terriglobia,C,204432,4203,1337,15,1414,13,1002,1893,1082,1345,522,1780,234,1631,1142,114,157,3801,1929,,3239,2070,1621,369,1596,2146,1184,1251,184,322,1556,2255,1851,2590,9,3551,1917,2251,2003,2494,481,74,1183,1757,2456,401,2097,2264,2514,3123,3363,1801,4203,2431,1626,2781,2300,402,3309,1182,1,985,3463,,1816,51,1645,,,,1,1,1,,,,,4,,1,,3,cellular organisms>Bacteria>Pseudomonadati>Acidobacteriota
Thermoanaerobaculia,C,1562571,4757,1122,7,394,1,345,661,419,466,102,497,100,376,259,15,17,585,351,,3632,724,289,54,254,321,143,213,29,56,238,267,250,476,1,4757,554,757,618,522,110,9,199,323,516,78,334,375,507,475,705,398,838,469,261,571,442,79,583,159,1,188,664,,257,7,258,,,,,,,,,,,,,,,1,cellular organisms>Bacteria>Pseudomonadati>Acidobacteriota
Vicinamibacteria,C,1813735,2788,400,6,322,,301,611,265,445,218,497,82,712,391,39,88,2788,1288,1,606,469,829,174,777,953,618,681,97,193,965,1275,1121,2352,7,676,496,574,739,663,160,17,458,663,822,103,534,1052,1104,1608,1685,936,2057,910,950,1649,1013,232,2012,597,2,597,1959,,317,39,1258,1,,,1,,,,1,,,,,,,1,cellular organisms>Bacteria>Pseudomonadati>Acidobacteriota
Blastocatellia,C,1562566,1096,330,1,386,3,276,516,289,406,137,481,67,511,346,41,35,1096,552,,955,561,407,97,526,569,331,308,51,92,468,664,582,736,8,924,445,598,542,767,151,16,342,521,672,127,573,597,675,817,968,480,991,695,448,832,596,115,970,338,1,270,1010,,410,12,485,,,,2,,,,,,,,,,,,cellular organisms>Bacteria>Pseudomonadati>Acidobacteriota
Acidithiobacillia,C,1807140,44,11,,14,,13,22,11,8,6,17,7,18,10,1,,44,30,,42,11,16,1,17,21,11,18,,6,15,21,7,19,3,34,13,27,27,33,11,1,12,18,28,1,26,25,26,27,30,20,24,24,13,23,23,4,27,13,,10,33,,29,1,19,,,,,,,,,,,,,,,,cellular organisms>Bacteria>Pseudomonadati>Pseudomonadota
Methylacidiphilae,C,1955630,44,11,,11,,6,18,11,15,5,19,6,15,10,6,1,16,14,,29,18,4,4,9,14,9,7,1,1,9,18,12,5,,44,15,15,18,26,3,1,7,12,18,5,13,22,21,27,15,11,19,23,11,11,22,3,20,3,,13,15,,6,,8,,,,,,,,,,,,,,,,cellular organisms>Bacteria>Pseudomonadati>PVC group>Verrucomicrobiota
Nitrospiria,C,203693,4874,3342,18,600,4,540,1607,563,887,520,1176,247,1579,942,106,209,4874,1653,,1593,979,1529,408,1303,1836,1302,1073,183,397,1870,2793,2499,2673,6,3287,762,1410,1293,2368,408,68,965,1347,1735,274,1080,1980,2163,3092,3645,1862,3133,2157,1659,2749,2148,515,3426,1406,14,1048,3799,,881,75,1848,,,,,,1,,,,,5,,,,5,cellular organisms>Bacteria>Pseudomonadati>Nitrospirota
Candidatus Abyssobacteria,C,2093358,35,4,,6,,7,7,4,2,2,6,,6,5,2,,2,4,,35,7,4,1,4,8,,1,,1,1,3,,,,31,8,13,7,9,,1,3,3,5,3,4,3,3,9,12,4,9,9,5,4,3,4,5,3,,2,5,,28,,1,,,,,,,,,,,,,,,,cellular organisms>Bacteria>Pseudomonadati>FCB group>Candidatus Hydrogenedentota
Candidatus Auribacteria,C,3039691,31,1,,1,,3,4,3,6,,5,,4,,,,3,,,9,17,12,1,3,7,1,,,,3,2,2,,,7,5,12,6,15,6,,5,8,18,1,12,7,20,10,7,6,5,4,3,2,3,2,5,2,,,8,,31,,2,,,,,,,,,,,,,,,,cellular organisms>Bacteria>Pseudomonadati>PVC group>Candidatus Auribacterota
Candidatus Geothermincolia,C,2900647,28,9,,14,,6,15,4,12,3,8,4,13,2,1,1,12,6,,20,22,2,2,6,6,1,,,4,4,7,1,2,,21,15,10,12,18,3,1,3,14,17,3,28,14,14,16,14,6,10,9,2,7,4,,14,4,,2,20,,20,,7,,,,,,,,,,,,,,,,cellular organisms>Bacteria>Bacillati>Actinomycetota
Spirochaetia,C,203692,5978,330,4,5978,13,1016,3145,1412,662,166,2587,207,840,841,59,48,747,559,,1729,1335,526,116,788,664,326,342,52,70,381,686,384,136,7,1573,1065,1277,863,1721,338,46,711,1187,1397,285,1200,740,980,784,979,454,738,1008,412,624,587,151,749,244,1,274,907,,753,4,185,,,,,,,,,,,4,,1,,,cellular organisms>Bacteria>Pseudomonadati>Spirochaetota
Bdellovibrionia,C,3031418,1207,67,2,128,14,116,250,123,175,106,267,49,394,270,65,36,1207,446,,265,324,306,64,338,523,331,434,61,64,555,947,777,680,4,236,181,450,250,477,116,16,271,355,445,88,319,428,561,706,1169,357,730,611,425,658,444,152,870,445,12,245,845,,170,8,418,3,,5,,,1,,,,,7,,,,1,cellular organisms>Bacteria>Pseudomonadati>Bdellovibrionota
Candidatus Entotheonellia,C,3277336,27,27,,9,,2,12,9,8,1,14,2,2,8,,1,3,5,,16,8,2,,4,6,2,5,1,2,3,5,3,,,21,3,8,11,15,,,5,4,8,,6,8,10,6,10,4,14,5,4,10,6,1,4,,,3,7,,6,,2,,,,,,,,,,,,,,,,cellular organisms>Bacteria>Pseudomonadati>Nitrospinota/Tectimicrobiota group>Candidatus Tectimicrobiota
Bacteriovoracia,C,3031419,1287,25,,123,1,118,233,103,174,96,276,51,399,276,25,43,1287,459,1,118,308,318,94,386,483,451,475,48,106,720,1252,990,785,1,120,117,382,217,459,105,20,234,440,419,61,260,484,665,727,870,322,618,679,498,771,553,165,1085,381,1,263,871,,158,15,527,,,,,,,,,,,,,1,,,cellular organisms>Bacteria>Pseudomonadati>Bdellovibrionota
Tichowtungiia,C,2907184,23,3,,5,,1,10,6,4,1,4,2,5,8,,,2,2,,8,7,4,1,2,3,,1,,,3,1,4,,,16,5,8,2,9,2,1,12,8,14,2,10,6,10,8,23,4,15,11,3,9,10,4,13,4,,6,10,,,,1,,,,,,,,,,,,,,,,cellular organisms>Bacteria>Pseudomonadati>PVC group>Kiritimatiellota
Elusimicrobia,C,641853,73,19,,26,,15,28,28,33,16,42,3,43,23,4,2,36,24,,70,50,26,6,45,37,13,18,4,4,22,18,22,14,,52,32,62,42,61,10,,28,42,57,15,63,29,45,41,66,20,48,43,15,48,40,12,61,22,,20,51,,73,2,14,,,1,,,,,,,,1,,,,,cellular organisms>Bacteria>Pseudomonadati>Elusimicrobiota
Candidatus Tariuqbacteria,C,3075765,22,2,,3,,1,4,2,4,1,,1,5,2,,,,2,,6,1,2,,3,2,,2,,,2,,,,,5,3,2,3,4,1,,1,5,9,2,22,6,1,3,,2,2,4,,3,1,,1,,,,2,,1,,,,,,,,,,,,,,,,,,cellular organisms>Bacteria>Pseudomonadati>FCB group>Candidatus Electryoneota
Epsilonproteobacteria,C,3031852,930,87,1,185,4,606,597,232,235,54,439,81,430,408,12,13,371,70,,513,930,180,62,250,347,128,219,22,26,177,403,251,45,,488,306,429,281,566,161,21,378,564,592,119,389,304,488,424,888,243,369,657,267,383,386,75,397,137,,193,778,,287,1,86,,,,,,1,,,,,1,,,,1,cellular organisms>Bacteria>Pseudomonadati>Campylobacterota
Desulfurellia,C,3031853,31,4,,17,,3,16,9,13,,21,,16,13,3,,21,2,,27,21,10,1,15,10,6,5,1,1,15,7,8,3,,25,14,24,7,23,3,1,21,20,31,7,30,20,26,17,15,7,16,19,7,12,15,1,20,4,,6,16,,11,,5,4,,,,,,,,,,,,,,,cellular organisms>Bacteria>Pseudomonadati>Campylobacterota
Candidatus Fermentibacteria,C,2152896,21,2,,13,,5,11,5,8,2,10,1,7,3,1,,5,2,,21,7,4,1,10,6,6,,,,2,3,3,,,19,12,9,14,14,1,2,12,10,18,1,19,5,9,10,10,2,16,7,2,9,4,2,7,1,,1,9,,14,,,,,,,,,,,,,,,,,,cellular organisms>Bacteria>Pseudomonadati>FCB group>Candidatus Fermentibacterota
